Date;State;PET_Phase
2020-07-06;State of Pará;Trough
2020-07-07;State of Pará;Trough
2020-07-08;State of Pará;Trough
2020-07-09;State of Pará;Trough
2020-07-10;State of Pará;Trough
2020-07-11;State of Pará;Trough
2020-07-12;State of Pará;Trough
2020-07-13;State of Pará;Trough
2020-07-14;State of Pará;Trough
2020-07-15;State of Pará;Trough
2020-07-16;State of Pará;Trough
2020-07-17;State of Pará;Trough
2020-07-18;State of Pará;Trough
2020-07-19;State of Pará;Trough
2020-07-20;State of Pará;Trough
2020-07-21;State of Pará;Trough
2020-07-22;State of Pará;Trough
2020-07-23;State of Pará;Trough
2020-07-24;State of Pará;Trough
2020-07-25;State of Pará;Trough
2020-07-26;;Trough
2020-07-27;;Trough
2020-02-25;State of Amapá;Preparation
2020-02-26;State of Amapá;Preparation
2020-02-27;State of Amapá;Preparation
2020-02-28;State of Amapá;Preparation
