data,consumo_diario,pred,ma_consumo,ma_pred,dif_baseline,dif_consumo,ma_dif_baseline,consumo_diario_acl,pred_acl,ma_consumo_acl,ma_pred_acl,dif_baseline_acl,dif_consumo_acl,ma_dif_baseline_acl,half_cum_deaths,doubl_days,mobility,smth_date,smth_mob,activity,PET_Phase
2018-08-01,62304.358028405,62670.69583121742,NA,NA,NA,NA,NA,19352.366934705,19552.39138186477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-02,62567.357404037,62490.77217283888,NA,NA,NA,NA,NA,19591.473353637,19495.15004321281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-03,62295.87605775,62166.673573238026,NA,NA,NA,NA,NA,19649.88149405,19493.913119811645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-04,57300.516743663,56940.84818162117,NA,NA,NA,NA,NA,18331.251187563,17868.794520208005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-05,51921.755126089,51794.67538909403,NA,NA,NA,NA,NA,15965.413267929,15536.223721502853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-06,60804.213189297,60739.91238503951,NA,NA,NA,NA,NA,19075.926252087,18759.574671617633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-07,61995.638251454,62297.18553856807,59884.244971527856,59871.537581659584,2.1224425464170225e-4,12.707389868272003,NA,19537.242711354,19469.847995862703,18786.222171617857,18596.556493440057,0.010198967655366991,189.66567817780015,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-08,62680.382014101,62676.320389926106,59937.96268377014,59872.34109004654,0.0010960251850668653,65.62159372360475,NA,19618.385632901,19560.268571877055,18824.224842788717,18597.681806298955,0.012181251343542874,226.54303648976202,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-09,62887.544918054,62496.39673154756,59983.70375720115,59873.14459843349,0.0018465567410759685,110.55915876765357,NA,19567.518447754002,19503.02723322509,18820.80271337686,18598.807119157853,0.011936012497830462,221.9955942190063,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-10,62176.627533448,62172.29813194671,59966.66825372943,59873.94810682045,0.0015485891584026505,92.72014690898504,NA,19461.078597847998,19501.790309823926,18793.830871062288,18599.93243201675,0.010424685130133728,193.8984390455371,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-11,57090.534652491,56946.47274032986,59936.67081213343,59874.75161520741,0.0010341453660459826,61.91919692602096,NA,18067.486807791,17876.67171022029,18756.15024538057,18601.05774487565,0.008337832322876755,155.0925005049212,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-12,51010.738852812,51826.300027628866,59806.52563023671,59879.269420712386,-0.0012148409821865862,-72.74379047567345,NA,15505.225944612,15554.152988688415,18690.40919919243,18603.6190687593,0.004665228314574182,86.79013043312807,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-13,60671.099239786,60784.260170516805,59787.50935173514,59885.60481863771,-0.001638047527442478,-98.09546690256684,4.1209602794344355e-4,18712.849805986,18768.24099190727,18638.541135463714,18604.857114514965,0.0018104960839752866,33.684020948749094,0.00850778190690004,NA,NA,NA,NA,NA,NA,NA
2018-08-14,62532.008152573006,62302.81009727675,59864.13362332357,59886.40832702466,-3.7194923394730315e-4,-22.27470370109222,3.286398152878714e-4,19502.905510573,19477.725185874988,18633.63582106643,18605.98242737386,0.0014862635606859994,27.653393692569807,0.007263109893374184,NA,NA,NA,NA,NA,NA,NA
2018-08-15,62210.937568623,62573.329466099276,59797.07013111243,59871.695337906545,-0.0012464188022895252,-74.62520679411682,-5.99504004875586e-6,19541.549721422998,19557.005584815004,18622.659262283858,18605.516286364997,9.213921105443617e-4,17.14297591886134,0.005654558574374397,NA,NA,NA,NA,NA,NA,NA
2018-08-16,62373.479476033,62502.02129025625,59723.632210823715,59872.4988462935,-0.0024863942267043205,-148.86663546978525,-6.2498803544594e-4,19342.907553023,19510.904423237374,18590.571991608,18606.641599223894,-8.636490110371758e-4,-16.069607615892892,0.0038260355016790197,NA,NA,NA,NA,NA,NA,NA
2018-08-17,62369.776427465,62177.922690655396,59751.224909969,59873.302354680454,-0.002038929538048265,-122.0774447114527,-0.0011374907063674993,19646.576775265,19509.667499836207,18617.071731239,18607.766912082792,5.000502854625932e-4,9.304819156208396,0.0024082305238688575,NA,NA,NA,NA,NA,NA,NA
2018-08-18,57475.082419534,56952.09729903854,59806.160305260855,59874.10586306741,-0.001134807056024279,-67.94555780655355,-0.0014473410523775368,18445.392401734,17884.548900232574,18671.05824465943,18608.89222494169,0.003340662032230965,62.16601971774071,0.0016943490537766018,NA,NA,NA,NA,NA,NA,NA
2018-08-19,52085.982615641,51831.92458633755,59959.76655709357,59874.90937145436,0.0014172411537655577,84.85718563920818,-0.0010713293186700875,16069.276574641,15562.030178700697,18751.636906092142,18610.017537800588,0.00760984604146116,141.61936829155457,0.00211500872904617,NA,NA,NA,NA,NA,NA,NA
2018-08-20,61206.70208705,60789.88472922549,60036.281249559855,59875.71287984132,0.0026816944967447253,160.56836971853772,-4.542233152147728e-4,19011.33350913,18776.11818191955,18794.277435112715,18611.142850659486,0.009840050443046295,183.13458445322976,0.003262087923199171,NA,NA,NA,NA,NA,NA,NA
2018-08-21,62750.856806478,62308.43465598544,60067.54534297486,59876.51638822828,0.0031903819104635864,191.02895474657998,5.4681133986782824e-5,19451.127549948,19485.60237588727,18786.880583594855,18612.26816351838,0.009381576632273672,174.61242007647525,0.004389989790568839,NA,NA,NA,NA,NA,NA,NA
